,Date,Followers - (change),Following - (change),Posts - (change),Influence - (change)
224,"July 21, 2020","18,286,325 - (-1,200)","3,813 - (+6)","2,006 - (0)",0.70% - (0.00%)
225,"July 20, 2020","18,287,525 - (-437)","3,807 - (0)","2,006 - (0)",0.70% - (0.00%)
226,"July 20, 2020","18,287,962 - (-1,080)","3,807 - (-1)","2,006 - (0)",0.70% - (0.00%)
227,"July 19, 2020","18,289,042 - (-2,792)","3,808 - (-2)","2,006 - (0)",0.70% - (+0.02%)
228,"July 18, 2020","18,291,834 - (-2,088)","3,810 - (-3)","2,006 - (+1)",0.68% - (-0.02%)
229,"July 17, 2020","18,293,922 - (-1,450)","3,813 - (+1)","2,005 - (0)",0.70% - (+0.02%)
230,"July 16, 2020","18,295,372 - (-1,986)","3,812 - (0)","2,005 - (+1)",0.68% - (0.00%)
231,"July 15, 2020","18,297,358 - (-7,071)","3,812 - (0)","2,004 - (+2)",0.68% - (-0.06%)
232,"July 11, 2020","18,304,429 - (-141)","3,812 - (0)","2,002 - (0)",0.74% - (0.00%)
233,"July 11, 2020","18,304,570 - (-36)","3,812 - (0)","2,002 - (0)",0.74% - (0.00%)
234,"July 10, 2020","18,304,606 - (-2,138)","3,812 - (-2)","2,002 - (0)",0.74% - (+0.02%)
235,"July 9, 2020","18,306,744 - (-7,065)","3,814 - (+3)","2,002 - (+2)",0.72% - (+0.04%)
236,"July 7, 2020","18,313,809 - (-5,513)","3,811 - (-4)","2,000 - (+1)",0.68% - (+0.02%)
237,"July 5, 2020","18,319,322 - (-290)","3,815 - (0)","1,999 - (0)",0.66% - (0.00%)
238,"July 5, 2020","18,319,612 - (-609)","3,815 - (0)","1,999 - (0)",0.66% - (0.00%)
239,"July 5, 2020","18,320,221 - (-3,900)","3,815 - (+3)","1,999 - (+1)",0.66% - (-0.03%)
240,"July 2, 2020","18,324,121 - (-142)","3,812 - (-1)","1,998 - (0)",0.69% - (0.00%)
241,"July 1, 2020","18,324,263 - (-156)","3,813 - (+1)","1,998 - (0)",0.69% - (0.00%)
242,"July 1, 2020","18,324,419 - (-1,296)","3,812 - (-1)","1,998 - (0)",0.69% - (+0.03%)
243,"June 30, 2020","18,325,715 - (-1,777)","3,813 - (+1)","1,998 - (+2)",0.66% - (-0.06%)
244,"June 29, 2020","18,327,492 - (-5,416)","3,812 - (+1)","1,996 - (+2)",0.72% - (-0.13%)
245,"June 25, 2020","18,332,908 - (-728)","3,811 - (0)","1,994 - (+1)",0.85% - (-0.04%)
246,"June 24, 2020","18,333,636 - (-442)","3,811 - (+3)","1,993 - (+1)",0.89% - (-0.02%)
247,"June 23, 2020","18,334,078 - (-2,011)","3,808 - (-1)","1,992 - (+1)",0.91% - (+0.06%)
248,"June 22, 2020","18,336,089 - (-6,051)","3,809 - (-1)","1,991 - (0)",0.85% - (0.00%)
249,"June 19, 2020","18,342,140 - (-518)","3,810 - (-1)","1,991 - (0)",0.85% - (0.00%)
250,"June 19, 2020","18,342,658 - (-555)","3,811 - (+6)","1,991 - (0)",0.85% - (0.00%)
251,"June 18, 2020","18,343,213 - (-35)","3,805 - (0)","1,991 - (0)",0.85% - (0.00%)
252,"June 18, 2020","18,343,248 - (-102)","3,805 - (+1)","1,991 - (0)",0.85% - (0.00%)
253,"June 18, 2020","18,343,350 - (-3,066)","3,804 - (+6)","1,991 - (0)",0.85% - (0.00%)
254,"June 16, 2020","18,346,416 - (-250)","3,798 - (+1)","1,991 - (0)",0.85% - (0.00%)
